frame,root pos x,root pos y,root pos z,root rot x,root rot y,root rot z,root rot w,head_pitch_joint,head_yaw_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,right_elbow_joint,right_shoulder_yaw_joint,right_shoulder_roll_joint,right_shoulder_pitch_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,left_elbow_joint,left_shoulder_yaw_joint,left_shoulder_roll_joint,left_shoulder_pitch_joint,waist_pitch_joint,waist_roll_joint,waist_yaw_joint,right_ankle_roll_joint,right_ankle_pitch_joint,right_knee_joint,right_hip_yaw_joint,right_hip_roll_joint,right_hip_pitch_joint,left_ankle_roll_joint,left_ankle_pitch_joint,left_knee_joint,left_hip_yaw_joint,left_hip_roll_joint,left_hip_pitch_joint
55,1.339925,-0.016323,0.869688,0.006232,0.015129,0.035186,0.999247,-0.161243,0.270045,0,0,0,-0.427951,0.126544,-0.252629,0.352312,0,0,0,-0.505786,-0.096653,0.121369,-0.139514,0.074923,0.01178,-0.315762,-0.046973,-0.247427,0.61179,0.100275,0.041957,-0.431595,0.003378,-0.09029,0.900456,0.008462,-0.01235,0.193005
56,1.359659,-0.017329,0.875302,0.00563,0.01595,0.032674,0.999323,-0.172275,0.243355,0,0,0,-0.443769,0.077566,-0.233844,0.324388,0,0,0,-0.355199,-0.119385,0.12999,-0.155432,0.082823,0.009282,-0.284966,-0.048226,-0.250051,0.573383,0.087643,0.042385,-0.388424,0.002175,-0.137798,0.99572,-0.019984,-0.009857,0.111095
57,1.37922,-0.017167,0.881946,0.004761,0.016742,0.0303,0.999389,-0.182541,0.215191,0,0,0,-0.474243,0.029254,-0.214714,0.301712,0,0,0,-0.162472,-0.152174,0.130363,-0.190103,0.090542,0.009122,-0.252655,-0.047855,-0.242859,0.517802,0.072128,0.04145,-0.33736,0.003614,-0.163923,1.060305,-0.048679,-0.013229,0.031102
58,1.398939,-0.01602,0.889385,0.003971,0.017442,0.027956,0.999449,-0.190774,0.187431,0,0,0,-0.516901,-0.008927,-0.196205,0.282744,0,0,0,-0.003996,-0.189171,0.125648,-0.212209,0.096657,0.010229,-0.220616,-0.046141,-0.224539,0.442149,0.053178,0.039055,-0.276508,0.0076,-0.172581,1.09486,-0.074109,-0.022049,-0.042987
59,1.418666,-0.014127,0.897127,0.003494,0.017982,0.025644,0.999503,-0.196983,0.161766,0,0,0,-0.566287,-0.030867,-0.179186,0.265408,0,0,0,-0.00464,-0.22503,0.130667,-0.170599,0.10117,0.011731,-0.190534,-0.043687,-0.193822,0.400745,0.041782,0.036789,-0.234796,0.012991,-0.167649,1.104041,-0.096774,-0.033862,-0.111796
60,1.438117,-0.011786,0.904899,0.003058,0.01828,0.023355,0.999555,-0.201818,0.139458,0,0,0,-0.617705,-0.035884,-0.165086,0.248187,0,0,0,-0.004593,-0.258717,0.135556,-0.126301,0.104936,0.013672,-0.163719,-0.040714,-0.157636,0.388234,0.03656,0.034737,-0.209085,0.017749,-0.152061,1.09204,-0.116874,-0.044558,-0.176761
61,1.457219,-0.009358,0.912397,0.002655,0.018259,0.021093,0.999607,-0.205985,0.121307,0,0,0,-0.668401,-0.028092,-0.155014,0.23056,0,0,0,-0.004459,-0.290072,0.139387,-0.079073,0.10875,0.015589,-0.141048,-0.037563,-0.119191,0.384975,0.033427,0.032703,-0.188727,0.02046,-0.128515,1.061524,-0.134821,-0.052142,-0.237761
62,1.476078,-0.007069,0.919274,0.002313,0.017843,0.018872,0.99966,-0.20994,0.107395,0,0,0,-0.716184,-0.013887,-0.148869,0.212386,0,0,0,-0.004122,-0.317767,0.141553,-0.029292,0.113164,0.016922,-0.122758,-0.034499,-0.081064,0.389058,0.031454,0.03075,-0.172232,0.02081,-0.099408,1.014376,-0.152601,-0.056965,-0.293536
63,1.500834,-0.004885,0.925077,0.001997,0.016956,0.016716,0.999714,-0.213868,0.097464,0,0,0,-0.759903,0.001136,-0.145534,0.193629,0,0,0,-0.004749,-0.342094,0.142321,0.022699,0.118512,0.017393,-0.108757,-0.031415,-0.046368,0.40287,0.029984,0.028723,-0.160238,0.017424,-0.066837,0.952276,-0.166917,-0.05673,-0.343179
64,1.521667,-0.003793,0.92901,0.0029,0.019438,0.014602,0.9997,-0.211594,0.081384,0,0,0,-0.800853,0.015763,-0.149979,0.17719,0,0,0,-0.004553,-0.349522,0.143289,0.066038,0.110467,0.01174,-0.090424,-0.029702,-0.023769,0.435666,0.03683,0.026523,-0.162564,0.018767,-0.035146,0.88229,-0.181253,-0.065962,-0.393989
65,1.542514,-0.002701,0.931251,0.003823,0.022177,0.012138,0.999673,-0.209611,0.065401,0,0,0,-0.846674,0.03014,-0.156133,0.161654,0,0,0,-0.004391,-0.357404,0.143108,0.109427,0.102388,0.00591,-0.071473,-0.027895,-0.006226,0.478031,0.045582,0.024449,-0.170473,0.017401,-0.003305,0.804825,-0.194798,-0.072269,-0.441204
66,1.563277,-0.001387,0.931451,0.00328,0.025033,0.009516,0.999636,-0.207916,0.049105,0,0,0,-0.90795,0.044507,-0.164706,0.147749,0,0,0,-0.004293,-0.366112,0.139485,0.152116,0.094684,0.003018,-0.052063,-0.02604,0.007584,0.52674,0.054928,0.025477,-0.181802,0.01413,0.025764,0.727305,-0.208349,-0.073953,-0.487817
67,1.584153,0.000105,0.929671,0.000943,0.027775,0.006776,0.999591,-0.206416,0.032204,0,0,0,-0.973883,0.0561,-0.177734,0.13468,0,0,0,-0.004265,-0.374465,0.132421,0.193386,0.087616,0.004262,-0.031805,-0.024464,0.019013,0.578214,0.064947,0.030681,-0.193746,0.009646,0.048957,0.657797,-0.224671,-0.072374,-0.536186
68,1.605474,0.001605,0.925888,-0.003125,0.029972,0.00368,0.999539,-0.204992,0.014818,0,0,0,-1.036076,0.062473,-0.194251,0.121018,0,0,0,-0.004294,-0.381406,0.123195,0.23306,0.081718,0.009521,-0.010291,-0.023202,0.02798,0.631233,0.073993,0.039787,-0.204176,0.004398,0.034814,0.659448,-0.25384,-0.074968,-0.615948
69,1.627599,0.003316,0.920262,-0.012646,0.031715,-0.003187,0.999412,-0.20328,-0.004556,0,0,0,-1.084321,0.058886,-0.215534,0.103795,0,0,0,-0.004457,-0.391285,0.108094,0.272123,0.076056,0.021749,0.018638,-0.022982,0.039795,0.677352,0.086795,0.061951,-0.20896,-0.003189,-0.006752,0.708786,-0.291677,-0.069313,-0.713748
70,1.650557,0.004736,0.913333,-0.020286,0.032791,-0.009922,0.999207,-0.200519,-0.020401,0,0,0,-1.127647,0.053923,-0.233031,0.083756,0,0,0,-0.004609,-0.400247,0.095692,0.311002,0.070337,0.031598,0.044744,-0.022592,0.047264,0.725923,0.098818,0.080153,-0.211902,-0.011751,-0.051669,0.773369,-0.33143,-0.070695,-0.813259
71,1.674352,0.006098,0.905291,-0.025874,0.033473,-0.015891,0.998978,-0.196525,-0.032378,0,0,0,-1.166146,0.050707,-0.246913,0.060918,0,0,0,-0.09599,-0.410388,0.099934,0.380797,0.064127,0.03865,0.066376,-0.021642,0.050758,0.775075,0.108482,0.093152,-0.21256,-0.019766,-0.083275,0.818232,-0.364027,-0.074,-0.89344
72,1.698604,0.007623,0.89683,-0.02936,0.034208,-0.020816,0.998766,-0.192448,-0.041581,0,0,0,-1.200338,0.050237,-0.258223,0.037915,0,0,0,-0.19088,-0.421328,0.108368,0.447433,0.057807,0.043362,0.084248,-0.020269,0.052695,0.820722,0.117026,0.100948,-0.210474,-0.024622,-0.105569,0.843558,-0.385425,-0.078007,-0.949055
73,1.722864,0.009401,0.888866,-0.031101,0.035302,-0.025022,0.998579,-0.190221,-0.0503,0,0,0,-1.228891,0.048902,-0.268064,0.01868,0,0,0,-0.240901,-0.434037,0.113233,0.490875,0.052613,0.046187,0.101096,-0.018168,0.056217,0.858177,0.123332,0.103457,-0.205073,-0.025057,-0.112742,0.830095,-0.389187,-0.075376,-0.966783
74,1.74721,0.011447,0.881775,-0.031444,0.036207,-0.028356,0.998447,-0.190521,-0.060553,0,0,0,-1.249988,0.043348,-0.277255,0.006637,0,0,0,-0.280558,-0.448495,0.119931,0.521377,0.050343,0.046951,0.118115,-0.015524,0.062151,0.885466,0.126633,0.101184,-0.194279,-0.019718,-0.122338,0.818561,-0.381064,-0.073057,-0.968189
75,1.772509,0.013764,0.875435,-0.030248,0.035573,-0.029965,0.99846,-0.191616,-0.07326,0,0,0,-1.26195,0.032447,-0.285496,0.003814,0,0,0,-0.329073,-0.463552,0.13174,0.545404,0.052317,0.044311,0.133888,-0.01226,0.069058,0.902072,0.123101,0.092838,-0.173713,-0.010212,-0.134236,0.81584,-0.366383,-0.075268,-0.956421
76,1.799625,0.016381,0.86983,-0.027286,0.0324,-0.029513,0.998666,-0.190599,-0.08802,0,0,0,-1.262931,0.01772,-0.291895,0.010892,0,0,0,-0.395081,-0.477637,0.150027,0.566706,0.058092,0.037016,0.146972,-0.00872,0.076342,0.90641,0.111354,0.078296,-0.139085,0.002685,-0.138127,0.796491,-0.340178,-0.076781,-0.918712
77,1.828735,0.01936,0.865255,-0.022806,0.02709,-0.027812,0.998986,-0.18522,-0.102873,0,0,0,-1.251882,0.002169,-0.296171,0.027011,0,0,0,-0.473721,-0.489984,0.173198,0.584757,0.06484,0.025192,0.157164,-0.004762,0.085476,0.895647,0.090757,0.058513,-0.089648,0.015683,-0.141309,0.771179,-0.309215,-0.07949,-0.864635
78,1.85957,0.022912,0.861907,-0.020189,0.023677,-0.025188,0.999198,-0.172492,-0.114697,0,0,0,-1.238761,-0.011393,-0.299327,0.051726,0,0,0,-0.554603,-0.499592,0.199351,0.596244,0.060344,0.017713,0.163189,-0.000858,0.100565,0.863475,0.063387,0.042419,-0.031209,0.027228,-0.146371,0.748206,-0.283567,-0.081076,-0.812069
79,1.890851,0.026904,0.859763,-0.017948,0.020437,-0.02243,0.999378,-0.15667,-0.120895,0,0,0,-1.223374,-0.020118,-0.301646,0.082438,0,0,0,-0.623064,-0.503997,0.224341,0.598476,0.052307,0.012366,0.164163,0.002918,0.121232,0.812572,0.030792,0.028253,0.036733,0.036657,-0.143581,0.71294,-0.257813,-0.079882,-0.753167
80,1.921435,0.030958,0.858585,-0.015928,0.017365,-0.019651,0.999529,-0.141053,-0.120603,0,0,0,-1.207932,-0.022883,-0.30235,0.117895,0,0,0,-0.671327,-0.497441,0.24588,0.590841,0.043647,0.010651,0.159871,0.006191,0.147123,0.744116,-0.005959,0.017452,0.112355,0.041896,-0.118315,0.635179,-0.229034,-0.072562,-0.672596
81,1.951011,0.035015,0.857921,-0.014196,0.014463,-0.017035,0.99965,-0.128169,-0.116487,0,0,0,-1.19137,-0.021651,-0.30119,0.158011,0,0,0,-0.699886,-0.477773,0.262248,0.574524,0.036962,0.011368,0.15259,0.009532,0.177756,0.656797,-0.048577,0.01046,0.196168,0.046927,-0.105039,0.577352,-0.202708,-0.067659,-0.600088
82,1.97967,0.038913,0.857741,-0.012722,0.011731,-0.014529,0.999745,-0.119101,-0.11319,0,0,0,-1.161418,-0.021214,-0.301429,0.200801,0,0,0,-0.721983,-0.449488,0.271102,0.553681,0.034138,0.007752,0.144406,0.011663,0.216443,0.5406,-0.09435,0.01062,0.293105,0.052553,-0.140992,0.612634,-0.193525,-0.072851,-0.574476
83,2.007103,0.042596,0.858233,-0.011254,0.009169,-0.011965,0.999823,-0.112951,-0.110508,0,0,0,-1.13019,-0.017546,-0.298404,0.242223,0,0,0,-0.73667,-0.414688,0.274368,0.525475,0.03404,0.001885,0.135868,0.013666,0.200192,0.481311,-0.132554,0.013986,0.370011,0.057714,-0.169781,0.633526,-0.183149,-0.076988,-0.543492
84,2.033455,0.046049,0.859145,-0.009801,0.006781,-0.009218,0.999886,-0.109362,-0.105598,0,0,0,-1.097054,-0.00994,-0.294334,0.279813,0,0,0,-0.737113,-0.377267,0.27265,0.486159,0.035866,-0.002303,0.125263,0.016016,0.10937,0.542886,-0.143291,0.011123,0.378865,0.062575,-0.195374,0.645238,-0.172105,-0.080561,-0.509629
85,2.058554,0.049206,0.860933,-0.008392,0.004565,-0.006427,0.999934,-0.108686,-0.095256,0,0,0,-1.064781,0.00239,-0.291711,0.310154,0,0,0,-0.719558,-0.341963,0.264644,0.435417,0.039839,-0.003768,0.109976,0.021326,-0.004064,0.650518,-0.139949,-0.000859,0.351208,0.066821,-0.217871,0.646346,-0.161183,-0.083589,-0.472361
86,2.082295,0.051793,0.863575,-0.006728,0.002524,-0.00347,0.999968,-0.110836,-0.077397,0,0,0,-1.034504,0.01889,-0.292292,0.332098,0,0,0,-0.682833,-0.310493,0.250395,0.375001,0.045981,-0.003197,0.087719,0.031074,-0.10996,0.763946,-0.129991,-0.021631,0.301373,0.070312,-0.238945,0.638185,-0.149823,-0.08632,-0.432527
87,2.105009,0.053563,0.867357,-0.004884,0.00066,-0.000418,0.999988,-0.115084,-0.052806,0,0,0,-1.002851,0.035999,-0.295987,0.346643,0,0,0,-0.631666,-0.283499,0.231284,0.308459,0.053786,-0.002472,0.058821,0.04144,-0.194847,0.861613,-0.111665,-0.04334,0.238848,0.072574,-0.254892,0.617514,-0.13796,-0.088102,-0.388438
88,2.127035,0.054486,0.872566,-0.003105,-0.001026,0.002719,0.999991,-0.120205,-0.024286,0,0,0,-0.96721,0.048445,-0.300145,0.356873,0,0,0,-0.571437,-0.261393,0.21002,0.238369,0.062114,-0.002445,0.025708,0.048242,-0.2554,0.934558,-0.087413,-0.057939,0.170481,0.073462,-0.260227,0.579309,-0.124904,-0.088082,-0.337639
89,2.148509,0.054679,0.878997,-0.001323,-0.002533,0.005962,0.999978,-0.124926,0.004785,0,0,0,-0.925142,0.0529,-0.301923,0.365837,0,0,0,-0.508049,-0.244645,0.188965,0.167088,0.069694,-0.004329,-0.008597,0.048821,-0.292639,0.980759,-0.060243,-0.062211,0.101151,0.073212,-0.25411,0.521978,-0.109982,-0.086632,-0.279245
90,2.169671,0.054214,0.885944,0.000505,-0.00386,0.00929,0.999949,-0.128212,0.03196,0,0,0,-0.875659,0.050493,-0.300178,0.375346,0,0,0,-0.446077,-0.233556,0.169448,0.096799,0.075364,-0.008588,-0.04177,0.044397,-0.315157,1.01103,-0.032277,-0.059119,0.030312,0.072732,-0.230282,0.503847,-0.103134,-0.087788,-0.243772
91,2.19094,0.053063,0.892614,0.002372,-0.005009,0.012693,0.999904,-0.129392,0.056561,0,0,0,-0.822747,0.044373,-0.295003,0.386594,0,0,0,-0.383591,-0.228154,0.152221,0.027511,0.078386,-0.013839,-0.07277,0.037809,-0.328435,1.032926,-0.004808,-0.053122,-0.042933,0.07142,-0.202361,0.499612,-0.100056,-0.089309,-0.216596
92,2.212728,0.051321,0.898691,0.004198,-0.00598,0.01617,0.999843,-0.128556,0.079057,0,0,0,-0.771042,0.037051,-0.287945,0.399906,0,0,0,-0.314278,-0.228737,0.136577,-0.042467,0.078922,-0.018497,-0.101712,0.031145,-0.334074,1.048529,0.022664,-0.046756,-0.11839,0.069206,-0.174798,0.499888,-0.09797,-0.090147,-0.192038
93,2.235114,0.04932,0.904319,0.005898,-0.006776,0.019715,0.999765,-0.126613,0.100378,0,0,0,-0.722047,0.030542,-0.281227,0.414372,0,0,0,-0.22915,-0.234427,0.120464,-0.116254,0.07797,-0.021976,-0.129419,0.025713,-0.332406,1.05882,0.051084,-0.041002,-0.196339,0.066479,-0.146974,0.500912,-0.096336,-0.090345,-0.168045
94,2.257847,0.0474,0.909487,0.007453,-0.007403,0.023311,0.999673,-0.124664,0.121573,0,0,0,-0.676081,0.027324,-0.276446,0.429037,0,0,0,-0.097384,-0.243146,0.099913,-0.205573,0.076685,-0.024239,-0.156883,0.022961,-0.323938,1.065175,0.081467,-0.036762,-0.277476,0.063749,-0.118572,0.501706,-0.09555,-0.090405,-0.144345
95,2.280698,0.045661,0.913787,0.008719,-0.006669,0.026887,0.999578,-0.125915,0.14326,0,0,0,-0.626984,0.03015,-0.273801,0.44225,0,0,0,-0.004428,-0.253353,0.078613,-0.282361,0.075916,-0.025137,-0.18463,0.022823,-0.31007,1.069015,0.114522,-0.032794,-0.364132,0.061047,-0.092158,0.506529,-0.095844,-0.090183,-0.125686
96,2.303345,0.044,0.916689,0.009853,-0.005649,0.030353,0.999475,-0.128523,0.165332,0,0,0,-0.581053,0.039542,-0.272934,0.45516,0,0,0,-0.00402,-0.262157,0.064466,-0.32348,0.076052,-0.025073,-0.212305,0.024908,-0.291754,1.069934,0.149664,-0.028275,-0.452008,0.058471,-0.069977,0.519763,-0.098342,-0.090306,-0.112096
97,2.325726,0.042319,0.917905,0.010832,-0.004358,0.033681,0.999364,-0.132562,0.186799,0,0,0,-0.536557,0.053812,-0.272606,0.46732,0,0,0,-0.163306,-0.269801,0.06609,-0.303166,0.07718,-0.024577,-0.239026,0.028491,-0.26914,1.066599,0.184238,-0.022971,-0.538986,0.055934,-0.05339,0.543451,-0.103106,-0.090697,-0.10443
98,2.347944,0.040593,0.917631,0.011628,-0.002813,0.036831,0.99925,-0.138001,0.207144,0,0,0,-0.494613,0.070924,-0.270552,0.47958,0,0,0,-0.274713,-0.278423,0.064969,-0.298161,0.079593,-0.022476,-0.263811,0.032428,-0.238135,1.0437,0.214768,-0.016645,-0.611985,0.053111,-0.041086,0.574398,-0.107751,-0.090622,-0.10095
99,2.37039,0.038806,0.916169,0.01254,0.000678,0.039854,0.999127,-0.142856,0.225852,0,0,0,-0.455948,0.087602,-0.267009,0.491607,0,0,0,-0.37608,-0.289785,0.065541,-0.295181,0.077784,-0.019246,-0.2866,0.036144,-0.201301,1.011447,0.24141,-0.010781,-0.683321,0.050328,-0.031008,0.607989,-0.114721,-0.091266,-0.102382
100,2.393143,0.036899,0.913699,0.013922,0.003722,0.042947,0.998973,-0.14836,0.243294,0,0,0,-0.414481,0.102244,-0.26236,0.500587,0,0,0,-0.468592,-0.303663,0.068119,-0.294386,0.077228,-0.017662,-0.308275,0.040024,-0.160112,0.96971,0.266289,-0.005516,-0.745708,0.047472,-0.021497,0.640989,-0.121193,-0.092635,-0.102056
101,2.41674,0.034472,0.910026,0.020641,0.007491,0.048455,0.998584,-0.153396,0.261681,0,0,0,-0.38563,0.120371,-0.253189,0.514196,0,0,0,-0.554162,-0.313676,0.076378,-0.293155,0.072602,-0.022771,-0.333753,0.044375,-0.131096,0.936754,0.295083,-0.010681,-0.806992,0.044711,-0.007874,0.665531,-0.129481,-0.104663,-0.097991
102,2.441268,0.03218,0.904862,0.024873,0.0111,0.053494,0.998197,-0.157098,0.276526,0,0,0,-0.346444,0.13442,-0.245826,0.522279,0,0,0,-0.63865,-0.322444,0.082152,-0.292259,0.067537,-0.025415,-0.356221,0.046301,-0.12838,0.925311,0.315548,-0.011632,-0.858174,0.041957,-0.000749,0.697373,-0.139156,-0.11183,-0.09548
103,2.466058,0.029917,0.898565,0.028457,0.015006,0.05763,0.99782,-0.159504,0.287916,0,0,0,-0.297581,0.145167,-0.239516,0.52534,0,0,0,-0.718596,-0.327982,0.08528,-0.291974,0.060433,-0.028208,-0.374378,0.04389,-0.132521,0.922869,0.333639,-0.006118,-0.907133,0.039195,0.003917,0.730325,-0.147542,-0.117413,-0.093217
104,2.490677,0.02768,0.89169,0.030742,0.019301,0.060354,0.997517,-0.161858,0.295669,0,0,0,-0.232381,0.153949,-0.233109,0.519954,0,0,0,-0.788236,-0.332108,0.086944,-0.293364,0.052917,-0.029682,-0.386906,0.035116,-0.160142,0.959923,0.349888,0.01036,-0.967575,0.036042,0.007605,0.762011,-0.152561,-0.119389,-0.090986
105,2.515441,0.025208,0.884806,0.032269,0.023311,0.062234,0.997267,-0.165284,0.300425,0,0,0,-0.134384,0.16387,-0.224228,0.498468,0,0,0,-0.843754,-0.33653,0.089875,-0.296416,0.047259,-0.030835,-0.395158,0.026118,-0.203008,0.984878,0.354312,0.021885,-0.993235,0.032543,0.0129,0.787675,-0.155054,-0.118527,-0.085015
106,2.540902,0.022315,0.878083,0.032393,0.025351,0.062875,0.997173,-0.169389,0.302876,0,0,0,-0.004082,0.177462,-0.212644,0.459931,0,0,0,-0.883804,-0.342134,0.095508,-0.300669,0.046981,-0.030916,-0.398833,0.018047,-0.240086,0.981929,0.34592,0.025556,-0.987143,0.028278,0.019457,0.806143,-0.151901,-0.112288,-0.070692
107,2.567992,0.018966,0.871529,0.029964,0.024516,0.062319,0.997305,-0.172621,0.304107,0,0,0,-0.004178,0.194256,-0.209936,0.466547,0,0,0,-0.908849,-0.34603,0.103411,-0.304203,0.053421,-0.027076,-0.398868,0.011239,-0.278446,0.972407,0.328124,0.026758,-0.961258,0.023453,0.026207,0.816871,-0.142837,-0.098361,-0.044594
108,2.596543,0.01526,0.866037,0.024838,0.021274,0.060341,0.997642,-0.173878,0.305222,0,0,0,-0.004172,0.210872,-0.208088,0.463545,0,0,0,-0.918595,-0.34258,0.110624,-0.304479,0.064954,-0.017755,-0.395752,0.005632,-0.30176,0.944678,0.300515,0.026494,-0.915357,0.017922,0.036491,0.814378,-0.124989,-0.076368,-0.005392
109,2.625744,0.011484,0.862215,0.018878,0.016532,0.056895,0.998065,-0.173088,0.306985,0,0,0,-0.004144,0.222366,-0.210347,0.45356,0,0,0,-0.922522,-0.326416,0.11457,-0.297255,0.078328,-0.006356,-0.39028,-0.000397,-0.29938,0.885827,0.264936,0.025608,-0.844573,0.012367,0.054685,0.793339,-0.097285,-0.051984,0.046796
110,2.655166,0.007729,0.859695,0.014549,0.014945,0.053837,0.998332,-0.167377,0.308505,0,0,0,-0.004083,0.225567,-0.219736,0.434413,0,0,0,-0.926046,-0.295743,0.114292,-0.279902,0.078365,0.00018,-0.387287,-0.009125,-0.297412,0.831407,0.229605,0.026656,-0.772484,0.007834,0.081927,0.753309,-0.069156,-0.032909,0.101622
111,2.684288,0.004,0.858042,0.012334,0.013855,0.050969,0.998528,-0.161265,0.312678,0,0,0,-0.004097,0.228876,-0.22974,0.409065,0,0,0,-0.917071,-0.253785,0.11266,-0.253602,0.076513,0.005614,-0.386056,-0.017543,-0.296805,0.802868,0.205501,0.030092,-0.718936,0.003984,0.117696,0.694562,-0.037127,-0.020071,0.163925
112,2.712787,0.000344,0.856994,0.010359,0.013249,0.048239,0.998694,-0.15558,0.318096,0,0,0,-0.091053,0.234565,-0.244721,0.412019,0,0,0,-0.890412,-0.206748,0.112138,-0.222117,0.075277,0.014735,-0.384858,-0.024544,-0.288791,0.772282,0.182448,0.032531,-0.666174,0.00055,0.15984,0.618218,-0.000862,-0.010136,0.233291
113,2.740448,-0.003399,0.857122,0.00886,0.01307,0.04548,0.99884,-0.150088,0.321073,0,0,0,-0.272081,0.234218,-0.268762,0.444606,0,0,0,-0.84849,-0.163323,0.111153,-0.190617,0.072212,0.020631,-0.38207,-0.028984,-0.24718,0.683432,0.151672,0.029534,-0.585056,-0.002178,0.213722,0.510798,0.041035,-0.00504,0.316078
114,2.766927,-0.007254,0.858654,0.007896,0.013248,0.042799,0.998965,-0.14641,0.319217,0,0,0,-0.359092,0.223723,-0.279818,0.437817,0,0,0,-0.790192,-0.126047,0.109707,-0.163603,0.068638,0.022298,-0.375591,-0.034612,-0.250006,0.680747,0.138685,0.033981,-0.549921,-0.001492,0.251427,0.400226,0.082233,-0.010749,0.405962
115,2.791534,-0.010973,0.861412,0.007232,0.013702,0.04021,0.999071,-0.146663,0.310141,0,0,0,-0.403935,0.202448,-0.279259,0.41537,0,0,0,-0.714401,-0.099261,0.109829,-0.145175,0.067079,0.020553,-0.362702,-0.039793,-0.247253,0.664911,0.125312,0.037512,-0.511243,0.002485,0.132316,0.545742,0.071511,-0.016688,0.371707
116,2.814071,-0.014137,0.865126,0.006718,0.014354,0.037725,0.999162,-0.151898,0.293156,0,0,0,-0.420425,0.169505,-0.268974,0.384402,0,0,0,-0.621196,-0.088443,0.11349,-0.136982,0.069107,0.016192,-0.342488,-0.044063,-0.244537,0.640632,0.112324,0.040198,-0.471362,0.005358,-0.018884,0.778768,0.033079,-0.017517,0.2691
117,2.834763,-0.016323,0.869688,0.006232,0.015129,0.035186,0.999247,-0.161243,0.270045,0,0,0,-0.427951,0.126544,-0.252629,0.352312,0,0,0,-0.505786,-0.096653,0.121369,-0.139514,0.074923,0.01178,-0.315762,-0.046973,-0.247427,0.61179,0.100275,0.041957,-0.431595,0.003378,-0.09029,0.900456,0.008462,-0.01235,0.193005
118,2.854497,-0.017329,0.875302,0.00563,0.01595,0.032674,0.999323,-0.172275,0.243355,0,0,0,-0.443769,0.077566,-0.233844,0.324388,0,0,0,-0.355199,-0.119385,0.12999,-0.155432,0.082823,0.009282,-0.284966,-0.048226,-0.250051,0.573383,0.087643,0.042385,-0.388424,0.002175,-0.137798,0.99572,-0.019984,-0.009857,0.111095
119,2.874058,-0.017167,0.881946,0.004761,0.016742,0.0303,0.999389,-0.182541,0.215191,0,0,0,-0.474243,0.029254,-0.214714,0.301712,0,0,0,-0.162472,-0.152174,0.130363,-0.190103,0.090542,0.009122,-0.252655,-0.047855,-0.242859,0.517802,0.072128,0.04145,-0.33736,0.003614,-0.163923,1.060305,-0.048679,-0.013229,0.031102
120,2.893777,-0.01602,0.889385,0.003971,0.017442,0.027956,0.999449,-0.190774,0.187431,0,0,0,-0.516901,-0.008927,-0.196205,0.282744,0,0,0,-0.003996,-0.189171,0.125648,-0.212209,0.096657,0.010229,-0.220616,-0.046141,-0.224539,0.442149,0.053178,0.039055,-0.276508,0.0076,-0.172581,1.09486,-0.074109,-0.022049,-0.042987
121,2.913504,-0.014127,0.897127,0.003494,0.017982,0.025644,0.999503,-0.196983,0.161766,0,0,0,-0.566287,-0.030867,-0.179186,0.265408,0,0,0,-0.00464,-0.22503,0.130667,-0.170599,0.10117,0.011731,-0.190534,-0.043687,-0.193822,0.400745,0.041782,0.036789,-0.234796,0.012991,-0.167649,1.104041,-0.096774,-0.033862,-0.111796
122,2.932955,-0.011786,0.904899,0.003058,0.01828,0.023355,0.999555,-0.201818,0.139458,0,0,0,-0.617705,-0.035884,-0.165086,0.248187,0,0,0,-0.004593,-0.258717,0.135556,-0.126301,0.104936,0.013672,-0.163719,-0.040714,-0.157636,0.388234,0.03656,0.034737,-0.209085,0.017749,-0.152061,1.09204,-0.116874,-0.044558,-0.176761
123,2.952057,-0.009358,0.912397,0.002655,0.018259,0.021093,0.999607,-0.205985,0.121307,0,0,0,-0.668401,-0.028092,-0.155014,0.23056,0,0,0,-0.004459,-0.290072,0.139387,-0.079073,0.10875,0.015589,-0.141048,-0.037563,-0.119191,0.384975,0.033427,0.032703,-0.188727,0.02046,-0.128515,1.061524,-0.134821,-0.052142,-0.237761
124,2.970916,-0.007069,0.919274,0.002313,0.017843,0.018872,0.99966,-0.20994,0.107395,0,0,0,-0.716184,-0.013887,-0.148869,0.212386,0,0,0,-0.004122,-0.317767,0.141553,-0.029292,0.113164,0.016922,-0.122758,-0.034499,-0.081064,0.389058,0.031454,0.03075,-0.172232,0.02081,-0.099408,1.014376,-0.152601,-0.056965,-0.293536
125,2.989676,-0.004885,0.925077,0.001997,0.016956,0.016716,0.999714,-0.213868,0.097464,0,0,0,-0.759899,0.001136,-0.145534,0.193628,0,0,0,-0.004749,-0.342094,0.142321,0.022699,0.118512,0.017393,-0.108757,-0.031415,-0.046367,0.40287,0.029984,0.028723,-0.16024,0.017424,-0.066837,0.952276,-0.166917,-0.05673,-0.343179
