frame,root pos x,root pos y,root pos z,root rot x,root rot y,root rot z,root rot w,head_pitch_joint,head_yaw_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,right_elbow_joint,right_shoulder_yaw_joint,right_shoulder_roll_joint,right_shoulder_pitch_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,left_elbow_joint,left_shoulder_yaw_joint,left_shoulder_roll_joint,left_shoulder_pitch_joint,waist_pitch_joint,waist_roll_joint,waist_yaw_joint,right_ankle_roll_joint,right_ankle_pitch_joint,right_knee_joint,right_hip_yaw_joint,right_hip_roll_joint,right_hip_pitch_joint,left_ankle_roll_joint,left_ankle_pitch_joint,left_knee_joint,left_hip_yaw_joint,left_hip_roll_joint,left_hip_pitch_joint
15,0.333897,0.01936,0.865255,-0.022806,0.02709,-0.027812,0.998986,-0.18522,-0.102873,0,0,0,-1.251882,0.002169,-0.296171,0.027011,0,0,0,-0.473721,-0.489984,0.173198,0.584757,0.06484,0.025192,0.157164,-0.004762,0.085476,0.895647,0.090757,0.058513,-0.089648,0.015683,-0.141309,0.771179,-0.309215,-0.07949,-0.864635
16,0.364732,0.022912,0.861907,-0.020189,0.023677,-0.025188,0.999198,-0.172492,-0.114697,0,0,0,-1.238761,-0.011393,-0.299327,0.051726,0,0,0,-0.554603,-0.499592,0.199351,0.596244,0.060344,0.017713,0.163189,-0.000858,0.100565,0.863475,0.063387,0.042419,-0.031209,0.027228,-0.146371,0.748206,-0.283567,-0.081076,-0.812069
17,0.396013,0.026904,0.859763,-0.017948,0.020437,-0.02243,0.999378,-0.15667,-0.120895,0,0,0,-1.223374,-0.020118,-0.301646,0.082438,0,0,0,-0.623064,-0.503997,0.224341,0.598476,0.052307,0.012366,0.164163,0.002918,0.121232,0.812572,0.030792,0.028253,0.036733,0.036657,-0.143581,0.71294,-0.257813,-0.079882,-0.753167
18,0.426597,0.030958,0.858585,-0.015928,0.017365,-0.019651,0.999529,-0.141053,-0.120603,0,0,0,-1.207932,-0.022883,-0.30235,0.117895,0,0,0,-0.671327,-0.497441,0.24588,0.590841,0.043647,0.010651,0.159871,0.006191,0.147123,0.744116,-0.005959,0.017452,0.112355,0.041896,-0.118315,0.635179,-0.229034,-0.072562,-0.672596
19,0.456173,0.035015,0.857921,-0.014196,0.014463,-0.017035,0.99965,-0.128169,-0.116487,0,0,0,-1.19137,-0.021651,-0.30119,0.158011,0,0,0,-0.699886,-0.477773,0.262248,0.574524,0.036962,0.011368,0.15259,0.009532,0.177756,0.656797,-0.048577,0.01046,0.196168,0.046927,-0.105039,0.577352,-0.202708,-0.067659,-0.600088
20,0.484832,0.038913,0.857741,-0.012722,0.011731,-0.014529,0.999745,-0.119101,-0.11319,0,0,0,-1.161418,-0.021214,-0.301429,0.200801,0,0,0,-0.721983,-0.449488,0.271102,0.553681,0.034138,0.007752,0.144406,0.011663,0.216443,0.5406,-0.09435,0.01062,0.293105,0.052553,-0.140992,0.612634,-0.193525,-0.072851,-0.574476
21,0.512265,0.042596,0.858233,-0.011254,0.009169,-0.011965,0.999823,-0.112951,-0.110508,0,0,0,-1.13019,-0.017546,-0.298404,0.242223,0,0,0,-0.73667,-0.414688,0.274368,0.525475,0.03404,0.001885,0.135868,0.013666,0.200192,0.481311,-0.132554,0.013986,0.370011,0.057714,-0.169781,0.633526,-0.183149,-0.076988,-0.543492
22,0.538617,0.046049,0.859145,-0.009801,0.006781,-0.009218,0.999886,-0.109362,-0.105598,0,0,0,-1.097054,-0.00994,-0.294334,0.279813,0,0,0,-0.737113,-0.377267,0.27265,0.486159,0.035866,-0.002303,0.125263,0.016016,0.10937,0.542886,-0.143291,0.011123,0.378865,0.062575,-0.195374,0.645238,-0.172105,-0.080561,-0.509629
23,0.563716,0.049206,0.860933,-0.008392,0.004565,-0.006427,0.999934,-0.108686,-0.095256,0,0,0,-1.064781,0.00239,-0.291711,0.310154,0,0,0,-0.719558,-0.341963,0.264644,0.435417,0.039839,-0.003768,0.109976,0.021326,-0.004064,0.650518,-0.139949,-0.000859,0.351208,0.066821,-0.217871,0.646346,-0.161183,-0.083589,-0.472361
24,0.587457,0.051793,0.863575,-0.006728,0.002524,-0.00347,0.999968,-0.110836,-0.077397,0,0,0,-1.034504,0.01889,-0.292292,0.332098,0,0,0,-0.682833,-0.310493,0.250395,0.375001,0.045981,-0.003197,0.087719,0.031074,-0.10996,0.763946,-0.129991,-0.021631,0.301373,0.070312,-0.238945,0.638185,-0.149823,-0.08632,-0.432527
